gender,marital_status,region,highest_education,school,employment_status,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,overall_experience_with_loan_process,over_under_milion,discipline
female,married,southern,bachelor,mzuni,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,widowed,northern,doctorate,chanco,fulltime,tuition_living,partially_paid,employer,monthly_salary,inconvenient,ineffective,ineffective,neutral,neutral,under,stem
male,married,central,master,chanco,fulltime,tuition,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,dissatisfied,under,stem
female,married,southern,bachelor,poly,fulltime,tuition_living,partially_paid,email,monthly_salary,convenient,effective,effective,positive,satisfied,under,stem
female,single,northern,bachelor,mzuni,unemployed,tuition_living,not_paid,email,none,inconvenient,ineffective,neutral,neutral,neutral,under,stem
female,single,southern,bachelor,mzuni,unemployed,tuition_living,not_paid,employer,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
female,single,southern,bachelor,chanco,fulltime,tuition_living,partially_paid,email_inperson,monthly_salary,neutral,neutral,neutral,neutral,neutral,over,stem
female,married,northern,bachelor,mzuni,fulltime,tuition_living_stationery,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
female,single,central,master,chanco,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,married,central,master,mzuni,fulltime,tuition_living_stationery,not_paid,phone,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,single,southern,bachelor,chanco,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,single,central,bachelor,mzuni,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,natural resourses
male,single,central,bachelor,mzuni,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,natural resourses
male,married,southern,bachelor,mzuni,parttime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
female,married,southern,bachelor,chanco,parttime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,single,southern,bachelor,chanco,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,married,northern,bachelor,mzuni,fulltime,tuition,partially_paid,inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral,under,stem
male,single,central,bachelor,mzuni,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,satisfied,over,stem
female,married,southern,bachelor,chanco,self_employed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,single,central,bachelor,mzuni,parttime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,married,southern,bachelor,chanco,self_employed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
female,single,central,bachelor,chanco,self_employed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
female,married,southern,bachelor,chanco,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,dissatisfied,over,stem
male,single,southern,bachelor,chanco,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,single,central,master,mzuni,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,married,central,bachelor,mzuni,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
female,married,central,bachelor,mzuni,self_employed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
female,widowed,central,master,mzuni,fulltime,tuition_living_stationery,fully_paid,none,monthly_salary,very_convenient,effective,very_effective,neutral,satisfied,over,commerce
female,single,southern,bachelor,poly,self_employed,stationery,fully_paid,phone,oneoff,convenient,effective,effective,neutral,satisfied,under,natural resourses
male,married,southern,bachelor,poly,fulltime,tuition,fully_paid,employer,oneoff,neutral,effective,effective,neutral,neutral,under,stem
male,single,central,bachelor,mzuni,fulltime,tuition_living,not_paid,email_inperson,none,inconvenient,ineffective,ineffective,neutral,neutral,over,stem
male,single,northern,bachelor,com,fulltime,tuition_living,partially_paid,phone,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
male,married,southern,bachelor,poly,self_employed,tuition,fully_paid,phone,oneoff,convenient,effective,effective,positive,satisfied,under,health sciences
male,single,northern,bachelor,com,fulltime,tuition_living,partially_paid,phone,monthly_salary,neutral,neutral,effective,negative,dissatisfied,over,health sciences
male,married,northern,bachelor,com,fulltime,tuition_living,partially_paid,phone,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
male,single,northern,bachelor,must,fulltime,tuition_living,partially_paid,email,voluntary_monthly,neutral,neutral,neutral,positive,neutral,over,health sciences
female,married,central,bachelor,com,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,health sciences
female,married,central,master,com,fulltime,tuition_living,fully_paid,phone,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
female,married,southern,bachelor,com,fulltime,tuition_living,fully_paid,employer,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
male,single,central,bachelor,com,fulltime,tuition_living,partially_paid,phone,monthly_salary,convenient,effective,effective,positive,satisfied,over,health sciences
male,married,central,master,com,fulltime,tuition_living,fully_paid,employer,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
male,single,central,master,must,fulltime,living,fully_paid,email,oneoff,very_convenient,very_effective,effective,positive,satisfied,under,health sciences
male,married,central,master,must,fulltime,living,fully_paid,email,oneoff,neutral,effective,neutral,positive,neutral,under,health sciences
female,widowed,central,master,must,fulltime,living,fully_paid,email,voluntary_monthly,convenient,effective,effective,positive,neutral,under,health sciences
female,married,northern,master,must,fulltime,living,fully_paid,email,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
male,single,northern,bachelor,must,parttime,living,partially_paid,email,voluntary_monthly,convenient,effective,effective,positive,satisfied,over,health sciences
female,single,northern,bachelor,must,fulltime,living,partially_paid,email,monthly_salary,convenient,effective,effective,neutral,satisfied,under,health sciences
male,single,northern,bachelor,must,fulltime,living,partially_paid,email,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
male,married,southern,master,must,fulltime,tuition_living,partially_paid,email_inperson,monthly_salary,convenient,effective,effective,very_positive,very satisfied,over,health sciences
female,married,central,bachelor,must,fulltime,tuition_living,partially_paid,email,monthly_salary,convenient,effective,very_effective,very_positive,very satisfied,over,health sciences
female,married,northern,diploma,luanar,fulltime,stationery,fully_paid,email,voluntary_monthly,neutral,ineffective,ineffective,negative,dissatisfied,under,natural resourses
female,married,central,master,kcn,unemployed,tuition,fully_paid,none,voluntary_monthly,neutral,ineffective,neutral,neutral,neutral,under,health sciences
male,married,central,master,poly,fulltime,tuition_living,fully_paid,phone,voluntary_monthly,convenient,effective,effective,positive,satisfied,under,stem
male,single,central,bachelor,poly,self_employed,living,partially_paid,employer,monthly_salary,neutral,ineffective,neutral,negative,neutral,under,stem
male,married,southern,bachelor,mzuni,fulltime,tuition,not_paid,inperson,none,inconvenient,ineffective,ineffective,negative,dissatisfied,under,stem
male,married,southern,master,mzuni,fulltime,tuition_stationery,partially_paid,inperson,monthly_salary,very_convenient,effective,effective,neutral,satisfied,under,stem
male,married,southern,bachelor,mzuni,fulltime,tuition_living_stationery,partially_paid,email,voluntary_monthly,neutral,ineffective,ineffective,neutral,neutral,under,stem
male,single,southern,master,mzuni,fulltime,tuition_stationery,not_paid,posters,none,neutral,neutral,neutral,neutral,neutral,under,stem
male,single,central,master,mzuni,fulltime,tuition_living_stationery,not_paid,none,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
female,single,central,bachelor,mzuni,fulltime,tuition_living,not_paid,socialmedia,none,inconvenient,ineffective,neutral,neutral,satisfied,under,stem
male,married,southern,master,mzuni,fulltime,tuition_living_stationery,not_paid,none,none,convenient,effective,very_effective,neutral,neutral,under,stem
male,divorced,central,master,mzuni,fulltime,tuition_living_stationery,not_paid,none,none,inconvenient,ineffective,very ineffective,neutral,dissatisfied,under,stem
female,married,southern,bachelor,mzuni,fulltime,tuition_living_stationery,not_paid,none,none,inconvenient,ineffective,neutral,neutral,neutral,under,stem
male,married,central,bachelor,mzuni,fulltime,tuition,fully_paid,phone,oneoff,very_inconvenient,very ineffective,effective,positive,neutral,over,stem
male,married,central,bachelor,mzuni,fulltime,tuition_living_stationery,partially_paid,phone,monthly_salary,convenient,neutral,neutral,positive,neutral,under,stem
female,married,southern,bachelor,poly,fulltime,tuition_living,partially_paid,phone,monthly_salary,convenient,effective,effective,positive,satisfied,over,stem
female,single,southern,bachelor,poly,self_employed,tuition,fully_paid,email,oneoff,convenient,neutral,neutral,neutral,neutral,under,stem
female,married,northern,master,poly,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,married,southern,master,poly,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,single,northern,bachelor,poly,fulltime,tuition_living,partially_paid,email,monthly_salary,neutral,neutral,effective,positive,satisfied,under,stem
female,married,southern,bachelor,poly,fulltime,tuition_living_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
female,married,southern,bachelor,poly,fulltime,living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,single,northern,bachelor,poly,fulltime,tuition,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,under,stem
male,single,central,bachelor,poly,fulltime,tuition_living,partially_paid,inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,married,southern,master,mzuni,fulltime,tuition_living,fully_paid,employer,monthly_salary,very_convenient,very_effective,effective,positive,satisfied,under,stem
female,single,central,bachelor,mzuni,fulltime,tuition,partially_paid,employer,monthly_salary,inconvenient,ineffective,ineffective,neutral,satisfied,under,stem
male,single,southern,bachelor,poly,fulltime,tuition,not_paid,email,none,neutral,neutral,neutral,neutral,neutral,under,health sciences
female,single,northern,bachelor,com,fulltime,tuition_living,partially_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,over,health sciences
female,married,southern,bachelor,com,fulltime,tuition_living,partially_paid,email_inperson,monthly_salary,convenient,very_effective,effective,positive,satisfied,over,health sciences
male,married,central,bachelor,com,fulltime,tuition_living,fully_paid,email_inperson,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
male,single,northern,bachelor,com,fulltime,tuition_living,partially_paid,email_inperson,monthly_salary,convenient,effective,effective,positive,satisfied,over,health sciences
male,single,northern,bachelor,com,fulltime,tuition_living,partially_paid,email,monthly_salary,neutral,neutral,effective,neutral,neutral,over,health sciences
male,married,northern,doctorate,com,fulltime,tuition_living,fully_paid,inperson,monthly_salary,convenient,effective,neutral,neutral,satisfied,under,health sciences
female,married,southern,bachelor,com,fulltime,tuition_living,partially_paid,inperson,monthly_salary,neutral,effective,neutral,neutral,neutral,under,health sciences
male,widowed,central,master,com,fulltime,tuition_living,partially_paid,inperson,voluntary_monthly,neutral,effective,neutral,neutral,neutral,over,health sciences
male,divorced,southern,bachelor,mzuni,fulltime,tuition_living,fully_paid,inperson,monthly_salary,neutral,effective,neutral,neutral,neutral,under,health sciences
male,married,northern,master,mzuni,fulltime,tuition_living,fully_paid,inperson,voluntary_monthly,convenient,neutral,neutral,neutral,neutral,under,health sciences
male,married,central,master,com,fulltime,tuition_living,fully_paid,inperson,monthly_salary,convenient,effective,effective,positive,neutral,under,health sciences
male,single,central,bachelor,com,fulltime,tuition_living,partially_paid,email,monthly_salary,neutral,neutral,neutral,neutral,neutral,over,health sciences
female,married,central,bachelor,com,fulltime,tuition_living,fully_paid,inperson,monthly_salary,neutral,neutral,effective,positive,satisfied,under,health sciences
male,married,southern,bachelor,com,fulltime,tuition_living,partially_paid,inperson,monthly_salary,neutral,effective,neutral,positive,satisfied,over,health sciences
male,single,central,bachelor,com,parttime,tuition,not_paid,employer,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
female,married,northern,doctorate,mzuni,fulltime,tuition,fully_paid,inperson,voluntary_monthly,neutral,effective,effective,positive,neutral,under,health sciences
male,single,central,bachelor,mzuni,self_employed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
female,married,central,master,com,fulltime,tuition_living,partially_paid,email_inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,over,health sciences
male,married,central,master,com,parttime,living,fully_paid,phone,monthly_salary,convenient,effective,effective,positive,neutral,under,health sciences
male,married,northern,bachelor,com,fulltime,living,not_paid,email,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
male,married,northern,master,com,fulltime,living,partially_paid,email,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
male,married,northern,doctorate,com,fulltime,living,fully_paid,phone,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
female,married,northern,bachelor,com,fulltime,living,fully_paid,email,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
female,divorced,northern,doctorate,com,parttime,living,fully_paid,inperson,oneoff,convenient,effective,effective,positive,satisfied,under,health sciences
male,married,northern,master,com,fulltime,living,fully_paid,email,monthly_salary,convenient,effective,effective,neutral,satisfied,under,health sciences
female,married,northern,bachelor,com,fulltime,tuition_living_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,health sciences
male,single,central,bachelor,mzuni,self_employed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
female,married,northern,master,com,fulltime,tuition,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,health sciences
female,married,southern,bachelor,com,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,health sciences
female,married,southern,bachelor,com,fulltime,living_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,health sciences
female,married,central,bachelor,com,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,health sciences
male,married,southern,doctorate,com,fulltime,tuition_living_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,over,health sciences
female,widowed,southern,doctorate,com,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,health sciences
female,single,central,bachelor,com,fulltime,living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,health sciences
female,divorced,southern,master,mzuni,fulltime,tuition_living,partially_paid,inperson,monthly_salary,neutral,neutral,ineffective,negative,dissatisfied,over,health sciences
female,married,southern,bachelor,com,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,health sciences
male,divorced,southern,doctorate,com,fulltime,tuition_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,health sciences
male,married,central,doctorate,com,fulltime,tuition_living,fully_paid,inperson,monthly_salary,convenient,very_effective,effective,positive,satisfied,under,health sciences
male,married,southern,bachelor,mzuni,fulltime,tuition,not_paid,employer,none,inconvenient,ineffective,neutral,neutral,neutral,under,health sciences
male,married,central,master,com,fulltime,living,fully_paid,inperson,oneoff,convenient,effective,very_effective,positive,satisfied,under,health sciences
male,married,central,master,mzuni,parttime,tuition_living,not_paid,inperson,none,neutral,neutral,neutral,neutral,neutral,over,health sciences
female,married,southern,bachelor,mzuni,fulltime,tuition_living,partially_paid,inperson,voluntary_monthly,inconvenient,ineffective,effective,positive,neutral,over,health sciences
male,single,southern,bachelor,com,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,northern,bachelor,mzuni,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,northern,bachelor,mzuni,self_employed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,central,bachelor,mzuni,fulltime,tuition_living,not_paid,employer,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,southern,bachelor,com,fulltime,tuition_living,partially_paid,email,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,northern,bachelor,com,self_employed,tuition_living,not_paid,email,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,central,bachelor,mzuni,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
female,married,southern,master,com,fulltime,tuition_living,partially_paid,inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,married,southern,bachelor,chanco,parttime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,ineffective,neutral,neutral,under,performing_arts
male,married,central,bachelor,must,fulltime,living,fully_paid,inperson,oneoff,convenient,effective,effective,positive,satisfied,under,health sciences
female,married,southern,bachelor,com,parttime,tuition,not_paid,inperson,none,neutral,neutral,neutral,neutral,neutral,under,health sciences
male,single,southern,bachelor,must,unemployed,tuition_living,not_paid,email,none,neutral,neutral,neutral,neutral,neutral,over,health sciences
male,single,central,bachelor,must,fulltime,tuition,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,married,southern,doctorate,mzuni,fulltime,tuition_living,partially_paid,employer,monthly_salary,neutral,effective,neutral,neutral,neutral,over,health sciences
male,married,central,bachelor,mzuni,fulltime,tuition_living,partially_paid,employer,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,central,bachelor,com,fulltime,tuition_living,partially_paid,inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
female,married,southern,bachelor,must,self_employed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,central,bachelor,must,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,married,central,bachelor,com,fulltime,tuition_living,partially_paid,inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,northern,bachelor,com,fulltime,tuition_living,partially_paid,inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,southern,bachelor,mzuni,unemployed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,northern,bachelor,mzuni,parttime,tuition_living,partially_paid,inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,central,bachelor,com,parttime,tuition_living,not_paid,email,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
female,married,northern,bachelor,must,fulltime,tuition,not_paid,phone,monthly_salary,neutral,effective,effective,positive,satisfied,under,health sciences
male,married,central,master,mzuni,fulltime,tuition_living,partially_paid,email_inperson,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
male,single,northern,bachelor,must,fulltime,tuition_living,partially_paid,inperson,monthly_salary,neutral,neutral,neutral,positive,neutral,under,health sciences
male,single,central,master,must,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
female,single,central,bachelor,mzuni,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,northern,bachelor,must,self_employed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,married,central,bachelor,com,fulltime,tuition,fully_paid,email,monthly_salary,neutral,effective,effective,positive,satisfied,under,health sciences
male,single,southern,bachelor,mzuni,parttime,living,partially_paid,email,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
female,married,northern,bachelor,com,fulltime,living_stationery,partially_paid,email,monthly_salary,neutral,effective,neutral,positive,neutral,under,health sciences
female,single,northern,bachelor,must,fulltime,tuition_living,not_paid,email_inperson,none,neutral,neutral,neutral,neutral,neutral,over,health sciences
female,married,central,bachelor,mzuni,fulltime,tuition_living,not_paid,inperson,none,inconvenient,very ineffective,neutral,neutral,neutral,over,health sciences
female,married,central,bachelor,mzuni,parttime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,single,central,bachelor,must,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,married,central,bachelor,must,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,health sciences
male,married,central,master,chanco,fulltime,tuition_stationery,fully_paid,socialmedia,oneoff,convenient,ineffective,effective,positive,satisfied,under,stem
female,married,southern,master,chanco,fulltime,stationery,fully_paid,employer,monthly_salary,very_convenient,effective,effective,positive,satisfied,under,stem
female,single,central,master,poly,fulltime,tuition,not_paid,phone,none,neutral,effective,effective,neutral,satisfied,under,stem
male,married,southern,master,chanco,fulltime,tuition_stationery,fully_paid,email,monthly_salary,convenient,effective,effective,positive,satisfied,over,stem
male,single,central,bachelor,chanco,fulltime,tuition_living_stationery,not_paid,phone,none,inconvenient,ineffective,neutral,negative,neutral,over,stem
female,single,central,bachelor,chanco,fulltime,tuition_living,fully_paid,socialmedia,voluntary_monthly,convenient,effective,effective,neutral,satisfied,under,stem
female,single,central,bachelor,mzuni,fulltime,tuition_living_stationery,not_paid,phone,none,very_convenient,very_effective,very_effective,very_positive,very satisfied,over,stem
male,married,central,master,chanco,self_employed,tuition_stationery,fully_paid,email,oneoff,convenient,effective,neutral,positive,satisfied,under,stem
male,married,northern,bachelor,luanar,fulltime,tuition,not_paid,employer,none,inconvenient,ineffective,neutral,very_positive,dissatisfied,over,stem
