gender,marital_status,region,highest_education,school,employment_status,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,overall_experience_with_loan_process,over_under_milion,discipline
female,married,southern,bachelor,chanco,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,married,central,bachelor,luanar ,fulltime,tuition_living,partially_paid,email_inperson,monthly_salary,neutral,effective,ineffective,negative,dissatisfied,under,stem
male,single,central,bachelor,luanar,fulltime,tuition_living,partially_paid,inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,married,central,master,poly,fulltime,tuition_living,partially_paid,inperson,monthly_salary,inconvenient,ineffective,effective,neutral,neutral,over,commerce
female,married,central,doctorate,chanco,fulltime,tuition_living_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,humanities
male,married,central,doctorate,chanco,fulltime,tuition_living_stationery,partially_paid,inperson,monthly_salary,convenient,effective,neutral,neutral,neutral,under,humanities
female,married,southern,bachelor,mzuni,fulltime,tuition_living,fully_paid,inperson,oneoff,convenient,effective,effective,positive,neutral,under,commerce
male,married,southern,bachelor,poly,fulltime,tuition_living,not_paid,email,none,neutral,neutral,neutral,neutral,neutral,under,commerce
female,divorced,southern,master,chanco,self_employed,tuition_living_stationery,fully_paid,employer,monthly_salary,very_convenient,very_effective,very_effective,positive,very satisfied,under,humanities
male,married,northern,doctorate,chanco,fulltime,living_stationery,fully_paid,employer,monthly_salary,neutral,neutral,neutral,neutral,satisfied,under,stem
male,single,central,master,chanco,fulltime,living_stationery,fully_paid,employer,monthly_salary,convenient,effective,effective,positive,satisfied,under,stem
male,married,southern,bachelor,mzuni,fulltime,tuition_living_stationery,not_paid,employer,none,convenient,effective,effective,neutral,neutral,under,stem
female,married,central,master,poly,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,dissatisfied,over,commerce
male,married,southern,bachelor,poly,parttime,tuition_living,not_paid,email,none,neutral,neutral,neutral,neutral,neutral,under,commerce
female,single,central,bachelor,poly,unemployed,tuition_living,not_paid,email,none,neutral,neutral,effective,positive,neutral,over,commerce
female,married,northern,master,poly,fulltime,tuition_living,fully_paid,phone,monthly_salary,convenient,effective,effective,positive,satisfied,under,stem
male,single,northern,master,poly,fulltime,tuition_living,partially_paid,email,voluntary_monthly,neutral,effective,effective,positive,neutral,under,stem
male,single,central,bachelor,poly,unemployed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,commerce
male,married,northern,bachelor,poly,fulltime,living,fully_paid,phone,monthly_salary,convenient,very_effective,effective,very_positive,very satisfied,under,commerce
male,single,central,bachelor,poly,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,satisfied,over,commerce
